SongID,Artist,Title,Artist_Sorted,Title_Sorted
41681,Nelly,#1,23967,0
38208,Mariah Carey & Miguel,#Beautiful,21802,1
4062,Chainsmokers,# S E L F I E,6267,2
56754,Will I Am Ft.. Justin Bieber,#Thatpower,34301,3
56806,Will.i.am Feat Justin Bieber,#thatPOWER,34280,4
28953,J Geils Band,(Ain't Nothing But A) House Pa,16719,5
11486,Blue Oyster Cult,(Don't Fear) The Reaper,4138,6
8771,Atlantic Starr,(Duet) Always,2201,7
20206,B 52's,(Duet) Love Shack,2380,8
12766,Brian Adams,(Everything I Do) I Do It For,4938,9
13307,Bryan Adams,(Everything I Do) I Do It For,5288,10
37556,Ltd,(Every Time I Turn Around) Bac,21323,11
48164,Roy Drusky,(From Now On All Of My Friends,28183,12
42967,Outlaws,(Ghost) Riders In The Sky,24801,13
31765,Johnny Cash,(Ghost) Riders In The Sky,17493,14
11082,BJ Thomas,(Hey Won't You Play) Another,3835,15
54056,Tim Dugger,(I Called Her) Tennessee,32121,16
47735,Rolling Stones,(I Can't Get No) Satisfaction,27885,17
7713,Amen Corner,(If Paradise Is) Half As Nice,1404,18
49672,Shania Twain,(If You're Not In It For Love),29197,19
49673,Shania Twain,(If Your Not In It For Love) I,29198,20
31291,Joee,(I Just) Died In Your Arms,17153,21
48743,Sandra,(I'll Never Be) Maria Magdalen,28554,22
41121,Nat King Cole,(I Love You) For Sentimental R,23767,23
55021,Tony Christe,(Is This The Way To) Amarillo,32664,24
46336,Reflections,(Just Like) Romeo & Juliet,26957,25
28422,Human League,(Keep Feeling) Facination,15215,26
54873,Tone Toni Tone,(Lay Your Head On My) Pillow,32567,27
18305,Frank Sinatra,(Love Is) The Tender Trap,12993,28
26998,Grease 2,(Love Will) Turn Back The Hand,14266,29
6147,A Ha,(Seemingly) Nonstop July,633,30
42899,Otis Redding,(Sittin' On) The Dock Of The B,24754,31
34868,Labi Siffre,(Something Inside) So Strong,19610,32
25600,Gene Pitney,(The Man Who Shot) Liberty Val,13336,33
51117,Stacie Orrico,(There's Gotta Be) More To Lif,30136,34
37544,Lovin' Spoonful,(What A Day For A) Daydream,21313,35
15650,Elvis Presley,(You're So Square) Baby I Don',11249,36
