,SongID,Artist,Title,Artist_Sorted,Title_Sorted
0,19098, ABBA,Bang A Boomerang,305,2528
1,19105, ABBA,Fernando,311,8943
2,19113, ABBA,I Do I Do I Do I Do,320,12978
3,19127, ABBA,Mama Mia,333,19211
4,19140, ABBA,Ring Ring,345,24405
5,19149, ABBA,Take A Chance On Me,354,28392
6,1,'Big Mama'  Thornton - Hound Dog [SC Karaoke],Hound Dog,0,12353
7,2,'N Sync,God Must Have Spent A Little M,1,10282
8,4,'Til Tuesday,Voices Carry,3,31672
9,3,'n Sync,Pop,2,23219
10,18880,10 CC,Dreadlock Holiday,10,7486
11,18883,10 CC,Things We Do For Love,13,29735
12,18879,10 Cc,Donna,9,6957
13,18881,10 Cc,I'm Not In Love,11,14234
14,90,10 Cc,Rubber Bullets,12,24820
15,18884,10 Cc,Wall Street Shuffle,14,31905
16,91,10 Years,Beautiful,15,2656
17,18885,10 Years,Through The Iris,16,30050
18,18886,10 Years,Wasteland,17,31985
19,93,"10, 000 Maniacs",Like The Weather,6,17759
20,94,"10, 000 Maniacs",More Than This,7,19991
21,18887,"10, 000 Maniacs",These Are The Days,8,29495
22,18888,"10,000 Maniacs",Because The Night,4,2737
23,96,"10,000 Maniacs",Candy Everybody Wants,5,4289
24,18902,112,Cupid,18,6062
25,18903,112,It's Over Now,19,15298
26,18904,112,Peaches & Cream,20,22785
27,18905,112,U Already Know,21,31142
28,369,12 Gauge,Dunkie Butt,22,7682
29,370,12 Stones,Far Away,23,8782
30,18907,12 Stones,We Are One,24,32098
31,1117,1755,Le Monde A Bien Changer,25,17275
32,18908,19 Somethin',Mark Wills,38,19357
33,18909,1910 Fruitgum Co,Simon Says,26,26168
34,1327,1910 Fruitgum Company,Simon Says,27,26169
35,1342,1927,That's When I Think Of You,28,28857
36,1401,1975,Antichrist,29,1693
37,18910,1975,Chocol,30,4955
38,1402,1975,Chocolate,31,4957
39,1403,1975,City,32,5049
40,1404,1975,Girls (Clean),33,10108
41,1406,1975,Robbers,34,24481
42,1407,1975,Sound,35,27111
43,1408,1975,The City,36,28970
44,1409,1975,UGH,37,31149
45,1434,2 Evisa,Oh La La La,41,21649
46,1435,2 Live Crew,Do Wah Diddy Diddy,42,7338
47,1436,2 Live Crew,We Want Some Pu$$ Y Parody (Ex,43,32352
